id,attack_date,org_type,org_size,facilities_affected,cyber_threats_tracked,monitoring_freq,backup_compromised,ransomware_infection_rate_(%),data_encrypted,data_stolen,recovery_time_(days),entry_method,paid_ransom,data_restored,ransomware_incidents
RAN202400001,2024-06-28 00:00:00,Hospital,Large,23,1-50,Daily,True,63.3,True,False,64,Exploited Vulnerability,False,36.28,2
RAN202400002,2024-12-18 03:00:00,Pharma,Medium,4,50-350,Daily,False,59.05,True,True,28,Exploited Vulnerability,True,57.66,6
RAN202400003,2024-10-12 09:00:00,Research Lab,Small,18,350+,Daily,True,90.0,True,False,49,Phishing Email,True,61.85,5
RAN202400004,2024-07-28 19:00:00,Clinic,Small,5,1-50,Weekly,True,61.32,False,False,56,Compromised Credentials,False,52.44,5
RAN202400005,2024-06-27 18:00:00,Hospital,Large,16,350+,Daily,False,53.65,True,True,13,Exploited Vulnerability,True,75.61,2
RAN202400006,2024-04-25 20:00:00,Hospital,Large,14,1-50,More than once per day,False,34.93,True,False,15,Compromised Credentials,False,54.04,3
RAN202400007,2024-12-01 22:00:00,Hospital,Medium,19,50-350,Daily,True,57.07,True,False,39,Exploited Vulnerability,True,62.56,3
RAN202400008,2024-04-18 02:00:00,Insurance,Large,14,350+,Daily,False,48.08,False,True,16,Exploited Vulnerability,True,75.96,5
RAN202400009,2024-04-17 17:00:00,Clinic,Small,9,1-50,Monthly,False,47.36,True,False,45,Exploited Vulnerability,False,22.56,1
RAN202400010,2024-08-02 18:00:00,Research Lab,Medium,6,50-350,Weekly,True,75.27,True,False,47,Phishing Email,True,45.12,6
RAN202400011,2024-03-05 03:00:00,Hospital,Medium,17,1-50,Weekly,True,77.72,True,False,84,Phishing Email,True,37.53,7
RAN202400012,2024-03-19 23:00:00,Pharma,Medium,19,50-350,Daily,False,46.23,True,False,28,Exploited Vulnerability,True,69.87,3
RAN202400013,2024-04-03 09:00:00,Insurance,Medium,12,50-350,Weekly,False,65.66,True,False,41,Compromised Credentials,True,44.87,2
RAN202400014,2024-04-03 12:00:00,Hospital,Medium,4,50-350,Daily,True,67.38,True,False,62,Compromised Credentials,True,42.08,5
RAN202400015,2024-01-29 12:00:00,Hospital,Large,16,1-50,Weekly,True,74.91,True,True,66,Exploited Vulnerability,True,47.01,7
RAN202400016,2024-04-15 08:00:00,Hospital,Large,11,1-50,More than once per day,True,49.21,True,True,46,Exploited Vulnerability,False,32.73,2
RAN202400017,2024-09-20 10:00:00,Hospital,Medium,22,1-50,Daily,True,74.31,True,False,98,Compromised Credentials,False,25.02,2
RAN202400018,2024-01-05 09:00:00,Clinic,Small,4,1-50,Daily,True,60.95,True,False,52,Exploited Vulnerability,False,12.06,3
RAN202400019,2024-04-12 00:00:00,Clinic,Medium,17,50-350,Daily,True,56.26,False,False,55,Phishing Email,False,40.68,6
RAN202400020,2024-08-28 21:00:00,Hospital,Large,8,350+,Monthly,False,47.66,True,False,14,Exploited Vulnerability,False,40.56,2
RAN202400021,2024-11-15 13:00:00,Clinic,Medium,14,50-350,Daily,False,50.88,True,False,38,Exploited Vulnerability,False,0.0,5
RAN202400022,2024-03-06 06:00:00,Hospital,Medium,2,50-350,Daily,True,43.02,True,False,33,Compromised Credentials,True,58.52,1
RAN202400023,2024-10-16 00:00:00,Hospital,Large,11,350+,Daily,True,59.54,True,False,30,Compromised Credentials,False,31.94,5
RAN202400024,2024-07-16 07:00:00,Hospital,Medium,11,50-350,Monthly,True,38.65,True,False,36,Compromised Credentials,True,66.76,4
RAN202400025,2024-01-22 04:00:00,Clinic,Small,24,350+,Daily,True,62.94,True,False,46,Exploited Vulnerability,False,39.4,5
RAN202400026,2024-03-17 06:00:00,Research Lab,Medium,22,50-350,Weekly,False,56.78,True,False,38,Exploited Vulnerability,False,24.84,4
RAN202400027,2024-08-04 00:00:00,Hospital,Large,24,1-50,Monthly,False,55.14,False,False,56,Phishing Email,False,27.47,3
RAN202400028,2024-12-26 23:00:00,Clinic,Small,6,1-50,Daily,True,46.22,True,False,57,Exploited Vulnerability,True,55.38,4
RAN202400029,2024-06-10 03:00:00,Clinic,Medium,21,50-350,Daily,True,32.81,True,False,40,Exploited Vulnerability,False,28.43,1
RAN202400030,2024-05-20 21:00:00,Hospital,Large,21,1-50,Daily,True,71.63,True,False,58,Exploited Vulnerability,True,55.42,7
